Date,"PM,(µg/m3)"
6/20/16 1:39,2.296997
6/20/16 1:44,2.197998
6/20/16 1:49,2.197998
6/20/16 1:54,2.197998
6/20/16 1:59,2.098999
6/20/16 2:03,2.098999
6/20/16 2:08,2.098999
6/20/16 2:13,2.098999
6/20/16 2:18,2.197998
6/20/16 2:23,2.098999
6/20/16 2:28,2.098999
6/20/16 2:32,2.197998
6/20/16 2:37,2.098999
6/20/16 2:42,2.296997
6/20/16 2:47,2.197998
6/20/16 2:52,2.098999
6/20/16 2:57,2.098999
6/20/16 3:02,2.098999
6/20/16 3:06,2.098999
6/20/16 3:11,2.098999
6/20/16 3:16,2.197998
6/20/16 3:21,2.098999
6/20/16 3:26,2.098999
6/20/16 3:31,2.296997
6/20/16 3:36,2.296997
6/20/16 3:40,2
6/20/16 3:45,2.098999
6/20/16 3:50,2.098999
6/20/16 3:55,2
6/20/16 4:00,2.098999
6/20/16 4:05,2.098999
6/20/16 4:09,2.098999
6/20/16 4:14,2.098999
6/20/16 4:19,1.901001
6/20/16 4:24,2
6/20/16 4:29,2
6/20/16 4:34,2.098999
6/20/16 4:39,2
6/20/16 4:43,2
6/20/16 4:48,2
6/20/16 4:53,1.901001
6/20/16 4:58,2
6/20/16 5:03,2
6/20/16 5:08,2
6/20/16 5:12,2
6/20/16 5:17,2.098999
6/20/16 5:22,2.098999
6/20/16 5:27,2.7919998
6/20/16 5:32,2.6930008
6/20/16 5:37,2.7919998
6/20/16 5:42,2.7919998
6/20/16 5:46,2.9899979
6/20/16 5:51,2.7919998
6/20/16 5:56,2.6930008
6/20/16 6:01,3.088997
6/20/16 6:06,2.8909988
6/20/16 6:11,3.2870026
6/20/16 6:16,2.6930008
6/20/16 6:20,2.8909988
6/20/16 6:25,2.5940018
6/20/16 6:30,2.6930008
6/20/16 6:35,2.4950027
6/20/16 6:40,2.7919998
6/20/16 6:45,2.6930008
6/20/16 6:49,2.4950027
6/20/16 6:54,2.6930008
6/20/16 6:59,2.9899979
6/20/16 7:04,2.7919998
6/20/16 7:09,2.7919998
6/20/16 7:14,2.7919998
6/20/16 7:19,2.7919998
6/20/16 7:23,2.6930008
6/20/16 7:28,2.5940018
6/20/16 7:33,2.5940018
6/20/16 7:38,2.5940018
6/20/16 7:43,2.6930008
6/20/16 7:48,2.6930008
6/20/16 7:52,2.4950027
6/20/16 7:57,2.4950027
6/20/16 8:02,2.9899979
6/20/16 8:07,2.7919998
6/20/16 8:12,2.8909988
6/20/16 8:17,2.7919998
6/20/16 8:22,2.8909988
6/20/16 8:26,3.088997
6/20/16 8:31,2.9899979
6/20/16 8:36,2.8909988
6/20/16 8:41,2.6930008
6/20/16 8:46,2.6930008
6/20/16 8:51,2.5940018
6/20/16 8:55,2.6930008
